Date,Energy,Financials,HealthSector,IT,RealEstate,REAINTRATREARAT10Y,CPALTT01USM657N,UNEMPLOY,GDP
2014-10-31,641.32,321.2,778.85,670.87,181.23,0.7009647,-0.251227781,8990.0,17852.54
2014-11-30,584.58,328.0,803.65,704.2,187.08,0.71330026,-0.539941794,9090.0,17897.80347826087
2014-12-31,586.59,333.32,791.97,691.95,187.89,0.38472537,-0.567010091,8717.0,17944.575739130436
2015-01-31,557.95,310.01,801.26,664.92,198.78,0.7099428,-0.470589237,8885.0,17991.348
2015-02-28,577.51,327.52,834.36,717.41,192.67,0.53838038,0.434304492,8599.0,18055.01150561798
2015-03-31,565.76,324.95,840.73,693.12,193.24,0.75170542,0.595172161,8515.0,18125.496101123594
2015-04-30,602.89,325.2,828.85,708.92,183.94,0.41032252,0.203287325,8550.0,18193.707
2015-05-31,571.41,330.53,864.75,723.41,182.74,0.53392144,0.509723203,8834.0,18231.86833695652
2015-06-30,551.11,328.94,861.19,691.8,174.21,0.5537778,0.350287,8247.0,18268.79866304348
2015-07-31,508.05,338.84,884.71,712.03,183.62,0.6670749,0.006704716,8167.0,18306.96
2015-08-31,484.21,315.31,813.51,670.62,173.69,0.54830556,-0.141627628,7992.0,18315.424010869567
2015-09-30,451.33,305.33,766.06,663.55,176.77,0.51245991,-0.155675658,7907.0,18323.614989130434
2015-10-31,502.11,323.97,824.99,734.33,188.95,0.52877171,-0.044968375,7922.0,18332.079
2015-11-30,498.26,329.48,820.04,738.69,187.15,0.6662057,-0.211068038,8000.0,18362.479108695654
2015-12-31,448.44,321.73,833.23,721.48,190.22,0.64742223,-0.341709644,7907.0,18393.892554347825
2016-01-31,434.67,292.9,769.48,686.16,181.44,0.73450597,0.165310221,7627.0,18425.306
2016-02-29,423.54,283.61,764.03,675.63,179.04,0.538738,0.082307653,7702.0,18485.339544444443
2016-03-31,462.41,303.71,783.85,737.12,197.16,0.55140742,0.430600014,7961.0,18549.513333333332
2016-04-30,502.42,313.64,806.34,696.81,192.65,0.34527268,0.474106798,8067.0,18611.617
2016-05-31,496.54,319.34,822.36,733.57,195.2,0.41364983,0.4045791,7652.0,18666.82463043478
2016-06-30,512.39,308.39,829.45,713.04,206.74,0.51909852,0.328436617,7744.0,18720.251369565216
2016-07-31,502.23,318.9,869.78,768.74,212.64,0.16534694,-0.16181364,7641.0,18775.459
2016-08-31,505.45,330.28,839.28,782.9,204.53,0.22683746,0.091843011,7784.0,18840.350760869565
2016-09-30,520.35,320.82,833.79,801.72,200.81,0.2160743,0.240399586,7953.0,18903.149239130435
2016-10-31,504.89,327.75,778.77,800.64,189.58,0.28979681,0.124674851,7811.0,18968.041
